Ticker,Price,Gain,Vol
AAOI,150.1,10.62,2516.7
ABCL,8.12,10.03,47.4
ABX,10.75,8.48,5.7
ACMR,118.88,13.76,179.9
ADEA,33.0,7.49,79.1
ADV,46.82,6.31,5.9
AEVA,25.67,22.88,55.2
AGMB,17.82,29.04,1.4
AGPU,7.54,5.31,2.1
AIIO,5.49,25.63,17.5
AIP,47.36,9.4,44.0
ALAB,455.96,16.39,2462.7
ALGM,66.37,14.65,187.4
ALLT,8.67,11.01,3.7
ALMU,22.23,11.04,24.5
AMAT,694.64,10.82,6883.1
AMBA,67.01,7.85,102.6
AMBQ,85.05,6.11,66.0
AMLX,18.7,5.12,27.7
AMPG,7.03,7.33,49.2
ANL,11.41,14.1,1.4
AOUT,13.48,16.21,1.7
APPS,12.91,16.62,71.3
ARQQ,27.31,12.57,31.5
ASPN,5.98,6.22,9.0
ASTC,12.18,30.83,65.5
ASTS,86.77,21.44,2161.8
ASYS,20.59,5.32,12.2
ATEX,98.24,9.56,45.0
ATOM,7.61,7.49,9.9
AVTX,19.29,5.99,32.9
AXON,510.6,9.85,539.9
BAND,60.89,7.01,97.7
BARK,9.58,12.57,1.3
BB,12.48,9.47,442.6
BCAX,29.34,9.19,22.3
BE,275.01,9.12,3841.7
BH,437.33,8.25,19.4
BIDU,112.18,7.64,275.9
BIOA,24.95,5.01,13.4
BKSY,28.35,14.5,75.7
BRBR,12.38,7.19,70.9
BSET,18.24,5.56,1.4
BTQ,5.57,8.37,29.8
BYRN,6.24,8.9,2.8
CADL,10.36,5.82,19.4
CCXI,16.4,18.33,21.6
CEPT,13.0,19.71,11.0
CERT,6.36,8.9,27.4
CHPT,6.1,9.52,6.4
CHTR,146.17,9.38,557.7
CING,5.32,7.26,3.1
CLDX,37.44,6.18,40.2
CLPT,19.43,5.14,17.0
CMPR,98.35,6.89,22.7
COHU,68.12,6.3,100.1
COMP,12.0,5.26,148.1
COYA,6.07,10.36,1.0
CRSR,9.25,7.43,26.2
CRTO,18.6,5.32,5.3
CRVS,14.48,7.34,17.0
CRWD,742.91,5.96,2549.5
CTNM,15.0,5.71,6.0
CUE,30.43,19.85,2.3
CWH,8.01,5.39,16.9
CYTK,87.26,6.17,188.2
DAO,11.93,7.28,1.2
DAVE,371.62,6.57,196.2
DCOY,9.59,73.79,6.2
DK,51.58,7.86,53.7
DMAC,7.22,10.23,1.4
DOCN,149.86,7.6,600.1
DRUG,69.18,5.15,30.5
DSGN,14.24,6.67,10.9
DSP,13.11,11.2,4.1
DTIL,7.92,8.64,3.5
EIKN,12.74,11.27,4.2
EML,25.99,6.78,1.4
ENTG,171.04,5.95,566.8
ERAS,18.29,14.24,93.0
EVC,13.48,12.05,22.1
FBIN,50.97,10.9,110.4
FBYD,16.9,5.43,2.6
FCEL,29.8,24.17,273.3
FDMT,12.88,11.03,10.6
FIRY,10.25,7.67,2.1
FIX,1948.69,5.09,1030.6
FLEX,159.56,8.77,1483.4
FLY,29.05,13.74,273.7
FNWD,36.05,5.81,1.1
FOA,27.4,13.18,1.2
FORM,144.17,10.27,268.6
FORR,8.42,7.81,1.3
FRPT,60.64,5.59,79.4
FSLY,18.0,5.2,132.4
GEV,1102.51,5.49,3217.3
GILT,13.02,10.25,12.7
GLSI,23.25,17.42,3.9
GLUE,23.9,7.22,30.7
GLW,255.69,15.67,3335.7
GRRR,18.78,7.44,37.6
HELP,6.88,6.17,6.6
HLIT,15.76,5.77,46.1
HSAI,15.76,6.49,32.6
ICHR,105.46,12.19,109.6
IMMX,10.49,5.11,18.2
IMNM,21.04,5.41,34.3
IMRX,5.05,6.09,9.7
INNV,11.61,7.6,4.3
INTG,48.92,5.75,3.3
INV,5.23,7.17,11.3
IONQ,53.88,9.27,1686.8
IRDM,54.59,25.44,159.9
JACK,16.6,20.2,11.4
JLHL,16.11,14.13,1.5
KINS,19.26,5.91,2.2
KLAC,278.39,11.97,3413.4
KNSA,62.41,5.42,52.9
KOD,37.74,5.01,30.0
LASR,65.04,5.98,86.1
LB,69.85,7.26,24.3
LCID,6.51,9.97,85.6
LCUT,8.98,17.85,2.7
LESL,10.76,12.2,3.9
LIF,57.58,8.48,38.6
