Ticker,Price,ADR,Support,Dist
AAL,17.2,4.32,E9,1.25
ACVA,7.29,5.27,E9,2.83
ADPT,20.82,7.04,E9,0.71
AFRM,83.62,5.74,E9,2.72
AGL,107.47,9.79,E9,1.98
AIIO,4.07,18.02,E9,1.33
AIR,136.63,4.13,E9,1.71
ALGN,185.22,4.45,E9,2.68
ALGT,111.14,6.01,E9,1.19
ALHC,24.05,5.98,E9,2.96
ALK,49.09,5.2,E9,0.32
ALLO,2.15,6.96,E9,2.54
ALT,3.02,5.31,E9,0.53
ALTO,5.65,7.06,E9,2.03
AMLX,18.17,6.4,E9,2.83
AMN,33.25,5.32,E9,0.12
AMPH,20.08,4.41,E9,0.1
ANET,166.46,5.14,E9,0.24
ANF,89.02,4.61,E9,0.77
ANRO,25.7,8.87,E9,1.38
APP,527.98,6.53,E9,1.92
APPS,10.39,10.7,E21,0.89
ARHS,8.14,5.81,E9,0.0
AROC,37.93,4.01,E9,0.27
ASND,266.97,4.38,E9,2.23
ASTH,47.04,4.61,E9,2.47
ATEN,36.52,4.48,E9,1.56
ATHM,18.67,4.15,E9,2.04
ATLC,97.38,6.75,E9,0.55
AVBP,34.18,5.01,E9,0.68
AVR,9.92,6.76,E9,0.94
AVTR,10.2,4.28,E9,1.29
AXGN,44.57,5.97,E9,0.73
AYI,339.25,4.49,E9,2.07
AZTA,25.37,4.55,E9,0.93
BB,11.1,9.2,E9,0.86
BBAR,20.08,5.65,E9,1.21
BH,412.03,5.6,E9,1.89
BHVN,15.55,7.54,E9,1.73
BIOA,24.4,7.49,E9,2.4
BIRK,45.56,4.82,E9,1.21
BKD,15.42,4.21,E9,0.37
BLFS,27.93,5.18,E9,0.9
BLLN,118.04,6.36,E9,0.77
BMA,91.65,4.91,E9,0.26
BMI,147.08,4.05,E9,2.31
BRC,91.48,4.08,E9,1.28
BRKR,58.25,4.48,E9,1.21
BZH,27.42,4.13,E9,1.11
CADL,9.85,7.04,E9,1.1
CANF,3.48,12.45,E9,0.17
CARG,34.92,4.22,E9,2.81
CBRL,49.5,6.51,E9,2.4
CCCC,4.35,9.6,E9,1.55
CCS,65.42,4.24,E21,1.21
CCXI,15.86,6.8,E9,1.28
CDNA,28.31,5.3,E9,0.6
CDW,139.23,4.13,E9,2.94
CELH,31.7,5.47,E9,1.86
CGON,69.2,5.71,E9,0.07
CLOV,5.0,6.61,E9,2.67
CLPT,17.48,8.02,E9,2.26
CMPR,96.24,4.69,E9,0.66
CMPS,12.99,8.2,E9,1.09
COMP,11.88,6.3,E9,0.52
COUR,5.8,4.96,E9,0.42
CPNG,18.53,5.3,E9,2.15
CRS,590.35,4.17,E9,1.21
