Ticker,Type
ACFN,Big Move
AESI,Pullback
ANF,Pullback
ANGX,Big Move
APPS,Big Move
ATRC,Pullback
AUR,Pullback
AVAH,Pullback
AYA,Pullback
BANL,Big Move
BLTE,Pullback
BTBT,Pullback
BTGO,Pullback
CHYM,Pullback
CMPS,Pullback
CNH,Pullback
CRUS,Big Move
CRWD,Pullback
DBGI,Big Move
DBI,Big Move
DELL,Pullback
DK,Pullback
DXC,Pullback
EFXT,Pullback
FGI,Big Move
FIGR,Pullback
FTH,Big Move
FUBO,Big Move
FWDI,Pullback
GOLD,Pullback
GTE,Big Move
HCWC,Big Move
HELP,Pullback
HPE,Pullback
INTC,Pullback
INTR,Pullback & Big Move
IREN,Pullback
JMIA,Pullback
KGS,Pullback
LIFE,Pullback
LITE,Pullback
LUMN,Pullback
MARA,Pullback
MLYS,Pullback
MNDY,Big Move
MOS,Pullback
MRNA,Pullback
MRVL,Pullback
MU,Pullback
NBIS,Pullback
OBIO,Big Move
OCUL,Pullback
OKTA,Pullback
ORBS,Pullback
PAGS,Big Move
PARR,Pullback
PHVS,Pullback
PI,Pullback
PRPO,Big Move
PRTH,Big Move
PSIX,Pullback
PSKY,Pullback
PTEN,Pullback
PXS,Big Move
QNRX,Pullback
QRVO,Big Move
RDDT,Big Move
RDIB,Big Move
RVLV,Big Move
SIMO,Pullback
SMR,Pullback
SNAP,Pullback
SNDK,Pullback
SNOW,Pullback
SPT,Pullback
SPTX,Big Move
SRRK,Pullback
STX,Pullback
SUPX,Big Move
SWKS,Big Move
TNON,Big Move
TSSI,Big Move
TWLO,Pullback
TYRA,Big Move
UROY,Pullback
VEON,Big Move
VIA,Pullback
VIST,Big Move
WLTH,Big Move
